file_name,video_id,title,upload_date,year,duration_seconds,duration_human,view_count,like_count,category,format,topics,top_terms,synopsis
Follow Your Passion is Terrible Advice. Here’s Why. (dE-wvWdM6jY).md,dE-wvWdM6jY,Follow Your Passion is Terrible Advice. Here’s Why.,2022-11-27,2022,1114,18:34,921730,39856,Education,q&a,general,"passion, career, follow, really, actually, love, good, like, advice, not, thing, find","该视频属于q&a内容。A super popular piece of career advice is to follow your passion, but actually that's not the best thing you can do to find a career you actually love. In this video, I discuss the lessons from Cal Newport's book So Good They Can't Ignore You about how to build a career you love. Enjoy x"
Full Course - How to Type 3x Faster (tU_AXrvQjpo).md,tU_AXrvQjpo,Full Course - How to Type 3x Faster,2024-06-04,2024,3003,50:03,760560,20330,Education,tutorial,"tools-tech, business, youtube-creator","type, faster, typing, fast, keyboard, speed, really, full, can, it's, i'm, about","该视频属于tutorial内容。Hey friends, this video is for anyone who wants to improve their typing speed, or for any typing enthusiasts out there who just want to learn more. I hope you find it useful and get some value from it! Enjoy x"
GAME-CHANGER - NEW iMac Review (M1) (qffXR9nRO90).md,qffXR9nRO90,GAME-CHANGER - NEW iMac Review (M1),2021-05-18,2021,982,16:22,458938,11690,Education,review,tools-tech,"imac, it's, like, really, review, blue, all, now, game-changer, apple, can, podcasts","该视频属于review内容。In this video I'll be taking a look at the brand new 2021 iMac which I've been using for the past few days. It's the base model, with 256GB SSD, 8GB RAM and the 8-core M1 chip with 7-core GPU. Enjoy!"
General Surgery - A Day in the Life - Junior Doctor Vlog (8lhSb5libHY).md,8lhSb5libHY,General Surgery - A Day in the Life - Junior Doctor Vlog,2019-08-02,2019,1278,21:18,102917,3164,Education,vlog,medicine,"doctor, surgery, junior, general, vlog, surgeon, about, like, i'm, team, medical, call","该视频属于vlog内容。In this video, I ramble at length about a day in the life on my general surgery placement. Enjoy xx"
Getting Rich is a Game. Here’s How to Win. (-r2SH6EH5eY).md,-r2SH6EH5eY,Getting Rich is a Game. Here’s How to Win.,2025-05-28,2025,2592,43:12,251993,8724,Education,tutorial,money-finance,"game, money, give, want, rich, win, getting, rules, about, strategy, government, because","该视频属于tutorial内容。Hey friends, if you’ve ever wondered why some people seem to print money while others work 10x harder and still struggle, this video breaks down the actual rules of the money game in this capitalist world and how to finally start playing to win. In this video, I’ll walk you through the four levels of the business game, the only kind of value that gets you rich, and the skills that will level you up. Hope you enjoy it xx"
Graduate Entry Medicine - A comprehensive guide + Q&A (vPckn7g-DX8).md,vPckn7g-DX8,Graduate Entry Medicine - A comprehensive guide + Q&A,2018-09-24,2018,2017,33:37,90917,2772,People & Blogs,q&a,study-learning,"medicine, graduate, grad, entry, about, doing, cambridge, application, people, comprehensive, all, really","该视频属于q&a内容。In this video, Samah and I tackle all aspects of the Graduate Medicine application. Samah is a 3rd year GEM medic at Cambridge University - her advice should hopefully be quite helpful. Enjoy xx"
"Gymshark, Inspirations & Pet Peeves - ONE MILLION Subscribers Q&A (sMu1m57KYGI).md",sMu1m57KYGI,"Gymshark, Inspirations & Pet Peeves - ONE MILLION Subscribers Q&A",2020-09-01,2020,946,15:46,166908,8169,Education,q&a,"money-finance, youtube-creator","subscribers, one, million, youtube, started, grow, kind, thousand, doctor, were, gymshark, inspirations",该视频属于q&a内容。00:36 What were your expectations from the YT channel when you started it?
HEAD TO HEAD - iPad Pro vs MacBook Air (2020) (SGzk_FbJ-dQ).md,SGzk_FbJ-dQ,HEAD TO HEAD - iPad Pro vs MacBook Air (2020),2020-04-20,2020,521,8:41,471616,8907,Education,review,tools-tech,"ipad, pro, macbook, laptop, can, replace, air, head, like, know, students, get","该视频属于review内容。In this video we're comparing the two hottest devices on the planet right now - the new, refreshed MacBook Air (2020) and the somewhat new, somewhat refreshed iPad Pro (2020). Which should you buy? Find out in this video."
Harry Potter - Medical Science Explained (YF00S6U_C1g).md,YF00S6U_C1g,Harry Potter - Medical Science Explained,2019-06-12,2019,883,14:43,69243,4333,Education,talk,medicine,"doctor, harry, potter, medical, growth, science, reacts, real, some, down, get, called","该视频属于talk内容。In this video, I break down some of the vaguely medical scenes in Harry Potter and the Philosopher's Stone. We discuss the science behind gigantism, the properties of plants like asphodel, wormwood, monkshood and wolfbane, some real experiments done with Bezoar stones, and some ways in which Petrificus Totalus could work in real life. Enjoy xx"
He Built a $1M Business in 12 Months - Every Step Explained (Case Study) (f7IECetqDLY).md,f7IECetqDLY,He Built a $1M Business in 12 Months - Every Step Explained (Case Study),2025-06-13,2025,9614,2:40:14,386267,8221,Education,talk,general,"month, job, business, study, like, built, step, case, years, first, months, explained","该视频属于talk内容。Meet my friend Suhail: just two years ago, he quit his corporate consulting job to start a business that now generates $1.1 million a year. In this video, we’ll unpack exactly how he pulled it off. If you’ve ever dreamed of quitting your job to chase freedom, travel, and maybe even work from your laptop on a beach somewhere, stick around - Suhail’s 12-step playbook might just be your ticket. Hope you enjoy xx"
Ho Chi Minh City (Vietnam) - Cambridge Medical Elective #10 (sDFe-OJmVXc).md,sDFe-OJmVXc,Ho Chi Minh City (Vietnam) - Cambridge Medical Elective #10,2017-08-19,2017,440,7:20,8865,202,People & Blogs,music,"medicine, study-learning","medical, vietnam, like, cambridge, chi, minh, elective, city, student, about, war, i'm",该视频属于music内容。Experimenting with a slightly longer format than usual. Let me know what you guys think :)
Honest YouTube Advice for 45 Minutes Straight (2026) (w0zO6Jgjw6U).md,w0zO6Jgjw6U,Honest YouTube Advice for 45 Minutes Straight (2026),2025-03-28,2025,2681,44:41,69803,2183,Education,q&a,youtube-creator,"youtube, like, advice, i'm, going, honest, straight, grow, i've, since, all, music","该视频属于q&a内容。Hey friends, I recently gave a talk to around 100 YouTubers about how to grow, scale, and monetise their YouTube channels. If you’re a creator (or aspiring creator), hope you get some tips from this talk! Ali xx"
How I Became A Better Speaker (jeSkdpQQtz4).md,jeSkdpQQtz4,How I Became A Better Speaker,2021-06-16,2021,684,11:24,198092,10396,Education,talk,tools-tech,"public, speaking, about, better, i'm, get, like, we're, speak, speaker, confidence, people",该视频属于talk内容。In this video I'll be going over some tips that have helped me become a better speaker. These could help anyone from teachers to content creators. Hope you enjoy xx :)
How I Became REALLY Confident (I5hTDOckpnU).md,I5hTDOckpnU,How I Became REALLY Confident,2021-04-30,2021,826,13:46,468445,20311,Education,talk,"career-life, tools-tech","confident, confidence, like, build, really, become, people, going, can, make, became, get",该视频属于talk内容。Confidence is often a nebulous or misunderstood topic among people who believe they lack it and so in this video I'll be going over 9 tips and strategies that have helped me cultivate supreme confidence. Enjoy :)
How I Bought a Brand New Tesla Half Price (HJyrY3bRTn4).md,HJyrY3bRTn4,How I Bought a Brand New Tesla Half Price,2020-10-18,2020,380,6:20,585300,19466,Education,review,general,"tesla, business, pounds, half, price, model, thousand, tax, bought, corporation, brand, cost","该视频属于review内容。Hey friends, in this video I'll be going over the financial wizardry that allowed me to get a brand new Tesla Model 3 for basically half the price. Hope you enjoy :)"
How I Built 9 Streams of Income By 23 (GY9lNl3EO1I).md,GY9lNl3EO1I,How I Built 9 Streams of Income By 23,2021-06-06,2021,875,14:35,504419,19944,Education,talk,"money-finance, tools-tech","income, streams, passive, money, make, built, people, build, ideas, other, can, podcasts","该视频属于talk内容。In this video I'll be going over the 9 streams of income I built between the ages of 13 and 23, along with the various challenges and hurdles I encountered along the way."
How I Built A YouTube Studio in a Tiny Room (8-WiFvM15-0).md,8-WiFvM15-0,How I Built A YouTube Studio in a Tiny Room,2024-11-19,2024,1895,31:35,690000,17367,Education,talk,"youtube-creator, tools-tech","youtube, studio, grow, room, advice, camera, built, tiny, beginner, youtubers, successful, going","该视频属于talk内容。Hey gang, I recently moved to Hong Kong, and needed to setup my YouTube studio, so in this video I break down exactly how I did it! Enjoy xx"
How I Built a Million Dollar Business in Medical School - 10 Tips for Entrepreneurs (80rugVXQzes).md,80rugVXQzes,How I Built a Million Dollar Business in Medical School - 10 Tips for Entrepreneurs,2019-10-09,2019,990,16:30,601183,25621,Education,talk,study-learning,"school, medical, business, money, then, entrepreneurs, making, built, million, dollar, make, code",该视频属于talk内容。The first 200 people will get 20% off the annual Premium subscription :)
How I Built a New $1m Business in 12 Months (ae9qy-7lBmo).md,ae9qy-7lBmo,How I Built a New $1m Business in 12 Months,2024-11-22,2024,5088,1:24:48,194713,4518,Education,talk,"business, youtube-creator","business, product, months, built, millionaire, year, million, become, building, now, build, dollar","该视频属于talk内容。In the past 12 months me and my team have been working on building a new Productivity related product, which is now called Productivity Lab. I wanted to share everything I've learned about building this product so far this year, so in this super long video I break down the entire process. Enjoy! xx"
How I Created a $3 Million Business Part Time (pcvcKIHGtGs).md,pcvcKIHGtGs,How I Created a $3 Million Business Part Time,2021-07-28,2021,971,16:11,502774,21019,Education,talk,tools-tech,"business, grew, started, youtube, make, then, million, money, online, like, one, would","该视频属于talk内容。In this video I'll give you a short history of my business, how I started it and the various stages I went through as it grew."
How I Failed in 2022 (knPdMQ44jKc).md,knPdMQ44jKc,How I Failed in 2022,2022-12-16,2022,2402,40:02,361681,13624,Education,talk,general,"failure, like, all, kind, failed, it's, year, failures, i've, think, going, bit","该视频属于talk内容。It's been a mostly smooth ride for me as a YouTuber/entrepreneur since I started 5 years ago, but this year has provided some new challenges. So in this relatively long and rambly video I go through various 'failures' from the past year. Enjoy x"
How I Gained 1 MILLION Subscribers (iNI-1Vy6WM4).md,iNI-1Vy6WM4,How I Gained 1 MILLION Subscribers,2020-11-15,2020,1668,27:48,242662,11330,Education,talk,general,"subscribers, like, million, what's, one, youtube, gained, famous, it's, abdal, special, thoughts","该视频属于talk内容。If you’d like to talk, I’d love to hear from you. Tweeting @aliabdaal directly will be the quickest way to get a response, but if your question is very long, feel free to email me at hi@aliabdaal.com. I try my best to reply to things but there sadly aren't enough hours in the day to respond to everyone 😭"
How I Learnt To Play Piano and Sing (ywiSy49yhyU).md,ywiSy49yhyU,How I Learnt To Play Piano and Sing,2021-02-07,2021,1549,25:49,176701,8764,Education,music,tools-tech,"piano, play, sing, playing, going, same, singing, we're, like, i'm, can, all","该视频属于music内容。In this video I'll be going over the 10 levels of playing piano—from absolute beginner to somewhat competent—and singing at the same time using chords, arpeggios and inversions."
How I Made My First $1M at 26 - Every Step Explained (ZAWvRqQwvSM).md,ZAWvRqQwvSM,How I Made My First $1M at 26 - Every Step Explained,2025-06-25,2025,2064,34:24,186182,5525,Education,talk,general,"like, first, made, million, about, own, month, step, explained, millionaire, kind, think","该视频属于talk内容。Hey friends, making my first million was less about chasing money and more about trying to teach people the lessons and skills that I have learned. In this video, I talk through the story about how I made my first million in different steps. Hope there’s something here you can steal for your own journey. Enjoy xx"
How I Make $4 Million Per Year - The CBM Framework (sV5eDJib4HE).md,sV5eDJib4HE,How I Make $4 Million Per Year - The CBM Framework,2022-08-09,2022,1168,19:28,295151,11147,Education,tutorial,"business, money-finance, youtube-creator, tools-tech","content, make, money, business, can, million, year, online, over, pillar, paid, creator",该视频属于tutorial内容。Last year this business made over $4 million and in this video I'll run through the Creatorpreneur Business Model that we've used to create a successful and sustainable creative business so that hopefully you can learn from it and apply to your own creator or entrepreneur business yourself 😀
How I Make My YouTube Videos (Te0_nt62lJQ).md,Te0_nt62lJQ,How I Make My YouTube Videos,2019-06-29,2019,546,9:06,192889,5662,Science & Technology,talk,youtube-creator,"youtube, make, camera, gear, setup, sony, audio, start, makes, lens, like, you're","该视频属于talk内容。In this video, we're talking about the setup that makes my YouTube videos. We go through the camera, lens and monitor, and the lighting and audio equipment that makes my videos look pretty reasonable in terms of quality (if I do say so myself). I also give a quick tour of my desk and the stuff that's in the background. Enjoy xx"
How I Manage My Time (as an Entrepreneur) (AECP5NsWRkE).md,AECP5NsWRkE,How I Manage My Time (as an Entrepreneur),2024-08-13,2024,1358,22:38,426789,10017,Education,talk,"business, study-learning, youtube-creator","make, money, business, about, entrepreneur, online, book, manage, three, pain, fast, home","该视频属于talk内容。Hey friends, in this video I summarise one of the best books I've read recently about business and entrepreneurship, Buy Back Your Time by Dan Martell. Enjoy! xx"
How I Manage My Time - 10 Time Management Tips (iONDebHX9qk).md,iONDebHX9qk,How I Manage My Time - 10 Time Management Tips,2021-04-18,2021,708,11:48,5587528,193344,Education,talk,productivity,"manage, management, i'm, like, don't, because, want, hell, get, something, all, doing",该视频属于talk内容。Managing our time efficiently is something most of us have struggled with at some point during our personal or professional lives and so in this video I'm going to reveal the 10 principles and ideas I use to manage time as effectively as I can in my daily life.
How I Manage My Time - The System That Changed My Life (ombpvrlglfU).md,ombpvrlglfU,How I Manage My Time - The System That Changed My Life,2022-08-19,2022,981,16:21,608270,17576,Education,talk,"productivity, tools-tech","management, energy, like, can, manage, get, things, system, i've, way, really, changed","该视频属于talk内容。I've developed a new method of managing my time and projects using an analogy from investing to create what I like to call The Energy Investment Portfolio. In this video, I'll go through it and explain how you can use it too."
How I Manage My Time - The Triage System (VpN78TXMSUM).md,VpN78TXMSUM,How I Manage My Time - The Triage System,2025-02-18,2025,1369,22:49,312985,9972,Education,talk,general,"system, triage, manage, to-do, list, always, first, about, could, all, get, another","该视频属于talk内容。#ad Going to therapy is a sign of strength, not weakness. BetterHelp makes"
How I Manage My Time - The Trident Calendar System (6o2tm00Ar8A).md,6o2tm00Ar8A,How I Manage My Time - The Trident Calendar System,2023-04-24,2023,1141,19:01,4214015,137194,Education,talk,productivity,"manage, management, bullet, method, calendar, trident, system, year, journal, view, can, really","该视频属于talk内容。Time management is super important, and I'm always searching for the best techniques to help me manage my time. So in this video I break down the trident method, which is the system I actually use every day to manage my life, and get the most out of every day that I have. Enjoy x"
How I Manage My Time Without Burning Out (YAs9QasnXgA).md,YAs9QasnXgA,How I Manage My Time Without Burning Out,2024-06-25,2024,1317,21:57,682717,22154,Education,talk,"productivity, study-learning, youtube-creator","productivity, cal, newport, about, without, work, slow, book, burning, deep, productive, burnout","该视频属于talk内容。Hey friends welcome back to another episode of Book Club. This time I'm going through the best productivity book I've read in recent years, Slow Productivity, and sharing the 3 key principles that Cal Newport talks about. I hope you get some value from it. Enjoy! xx"
How I Manage my Time as a Doctor + YouTuber - 9 Time Management Tips (5Nin1OtjOlU).md,5Nin1OtjOlU,How I Manage my Time as a Doctor + YouTuber - 9 Time Management Tips,2019-07-26,2019,826,13:46,1626991,60986,Education,talk,"medicine, productivity, study-learning","management, manage, about, doctor, like, youtuber, students, productivity, some, i've, skills, school","该视频属于talk内容。Hey friends, in this video we're deep-diving into time management. I talk through 3 principles, 3 tactics and 3 tools that help me juggle various things throughout the day. Enjoy xx"
How I ONLY Work 4 Hours a Day - How to Stay Focused (yGYh_6WdAjA).md,yGYh_6WdAjA,How I ONLY Work 4 Hours a Day - How to Stay Focused,2021-07-11,2021,569,9:29,687683,27258,Education,tutorial,"productivity, tools-tech","work, like, deep, focused, stay, focus, actually, only, can, some, working, people",该视频属于tutorial内容。In this video I'll go over five key elements that have helped me focus on my work and reduce the wasted time that just feels like work but is ultimately unproductive.
How I Organise My Life (bpikCLhpIRY).md,bpikCLhpIRY,How I Organise My Life,2020-07-21,2020,1407,23:27,300692,6137,Education,talk,"productivity, tools-tech","roam, research, can, it's, notes, app, rome, organise, page, like, note-taking, there's","该视频属于talk内容。In this video, I'll be taking you through how I use Roam on a daily basis to take smart notes and organise all things important to me."
How I Organize My Life - The _LAZI_ Productivity System (Bry8a_7b9aM).md,Bry8a_7b9aM,"How I Organize My Life - The \""LAZI\"" Productivity System",2021-05-05,2021,595,9:55,899749,25583,Education,talk,productivity,"productivity, calendar, productive, system, lazi, i'm, block, organize, lazy, going, things, lash",该视频属于talk内容。In this video I'll be going over each element of my revolutionary LAZI System for personal productivity. Enjoy.
How I Ranked 1st at Cambridge University - 20 Study Tips (76yqErAib5g).md,76yqErAib5g,How I Ranked 1st at Cambridge University - 20 Study Tips,2022-02-23,2022,1330,22:10,2293133,85337,Education,talk,"study-learning, youtube-creator","cambridge, study, university, exams, like, ranked, exam, subject, really, students, school, revision","该视频属于talk内容。In this video we’re going through the top 20 study tips that helped me smash my exams when I was at school, and do pretty well at Cambridge University medical school - all while building this YouTube channel, having an actual social life, and enjoying the journey along the way. Enjoy xx"
How I Ranked 1st at Cambridge University - My Secret (_5nw6gLRe34).md,_5nw6gLRe34,How I Ranked 1st at Cambridge University - My Secret,2020-05-29,2020,223,3:43,366080,8770,Education,talk,study-learning,"flashcards, anki, like, can, class, get, ranked, cambridge, university, secret, skillshare, that's","该视频属于talk内容。Hey friends, this is just a quick video to announce my latest SkillShare class that's been released today called 'Learn Anything With Flashcards - The Ultimate Guide To Anki'! There are 42 lessons and hours of content to get you started and optimising your use of the app. For me, Anki has probably been the most useful and valuable app that I've used over the past few years and I want others to be able to get the same benefits that I achieved by discovering it. Click the link to get started!"
How I Read 100 Books a Year (My 10 Best Tips) (0iaU9VZXKUQ).md,0iaU9VZXKUQ,How I Read 100 Books a Year (My 10 Best Tips),2023-12-15,2023,811,13:31,311282,11322,Education,talk,"study-learning, career-life, youtube-creator","read, books, reading, book, like, one, year, love, it's, really, effectively, less","该视频属于talk内容。Hey gang, in this video I just wanted to share 10 tips that help me read lots of books, so that you can hopefully hit your reading goals in the new year! Enjoy x"
How I Read 100 Books a Year - 8 Tips for Reading More (8tKuviI68Ss).md,8tKuviI68Ss,How I Read 100 Books a Year - 8 Tips for Reading More,2019-10-30,2019,675,11:15,1776138,63812,Education,talk,study-learning,"read, reading, books, kindle, year, like, about, one, find, i'm, get, down",该视频属于talk内容。A reading habit is one of the most powerful things you can build. But it's hard to find time to read. Here's a video on how to become a better reader. Enjoy xx
How I Remember Everything I Read (AjoxkxM_I5g).md,AjoxkxM_I5g,How I Remember Everything I Read,2020-10-08,2020,953,15:53,3196349,119994,Education,talk,"career-life, study-learning","read, notes, take, taking, remember, everything, note, we're, stuff, reading, you're, like","该视频属于talk内容。Hey friends, in this video I'll be going over my entire system of taking smart book notes for the purpose of remembering and applying everything we read. Enjoy xx"
How I Run this YouTube Channel - Day in the Life (F7JMKzBr8HY).md,F7JMKzBr8HY,How I Run this YouTube Channel - Day in the Life,2021-11-13,2021,860,14:20,218772,7446,Education,vlog,"youtube-creator, medicine","like, vlog, team, we're, we've, got, meeting, youtube, going, then, all, it's","该视频属于vlog内容。Hey friends, join me and the team for what a typical day looks like in our new London office! It's back-to-back meetings today, as I speak to Dan who designed my website with Ghost, as we prepare to launch our own website themes and I have a podcast interview with Ryan Holiday!"
How I Started My YouTube Channel in My Spare Time (gpEzAnz5h2U).md,gpEzAnz5h2U,How I Started My YouTube Channel in My Spare Time,2023-05-07,2023,1364,22:44,618735,20150,Education,talk,youtube-creator,"youtube, business, success, started, spare, right, three, all, things, grow, strategy, execution","该视频属于talk内容。Hey friends, in this video I break down the single most important thing that I did to grow my YouTube channel whilst also having a full time job. I managed to get to a place where I was spending around 5-10 hours a week on the channel, which is pretty insane, so hopefully you'll find something useful. Enjoy x"
How I Stopped Overthinking (mWQTgSt7GeU).md,mWQTgSt7GeU,How I Stopped Overthinking,2022-08-23,2022,787,13:07,530280,22502,Education,talk,tools-tech,"overthinking, going, stopped, about, things, strategies, like, we're, starting, talk, that's, too","该视频属于talk内容。Overthinking has nearly stopped me starting a business, starting a channel and asking my future wife out on a first date. In this video, I'm going to be going through 5 practical strategies that helped me stop overthinking. Enjoy 😃"
How I Type INSANELY Fast (160 WPM) - The Best Keyboards for Fast Typing (wmQt-QM0mbQ).md,wmQt-QM0mbQ,How I Type INSANELY Fast (160 WPM) - The Best Keyboards for Fast Typing,2021-05-03,2021,925,15:25,1570867,28407,Education,music,general,"mechanical, keyboard, keyboards, typing, fast, like, it's, type, i'm, insanely, very, wpm",该视频属于music内容。In this video I'll be comparing six of the most popular keyboards to find out which is the ultimate productivity powerhouse. Enjoy.
How I Type REALLY Fast (156 Words per Minute) (1ArVtCQqQRE).md,1ArVtCQqQRE,How I Type REALLY Fast (156 Words per Minute),2020-08-18,2020,933,15:33,10990637,334955,Education,talk,general,"typing, type, words, per, speed, like, really, fast, can, you're, i'm, doctor",该视频属于talk内容。重点覆盖：Intro；Learn keyboard shortcuts；Practice on 10fastfingers.com；Practice on keybr.com。
How I Work for 15 hours and Not Get Bored (N282bXQYRFc).md,N282bXQYRFc,How I Work for 15 hours and Not Get Bored,2021-08-11,2021,489,8:09,899699,38815,Education,talk,general,"distractions, get, focus, we're, distraction, not, motivational, work, distracted, would, bored, it's",该视频属于talk内容。In this video I'll be going over a few reasons we're constantly distracted and a strategic way to avoid that in the future and focus on the things that matter.
How I Would Build A Business in 2026 (If I had to start over) (Jc7gURfsNqk).md,Jc7gURfsNqk,How I Would Build A Business in 2026 (If I had to start over),2025-09-19,2025,4524,1:15:24,126171,3141,Education,talk,business,"business, start, build, don't, would, own, idea, over, entrepreneur, can, daniel, like","该视频属于talk内容。Hey friends, if you’ve ever wanted to start your own business but felt stuck because you don’t have the “right idea” or you’re worried it’s too risky, this video is for you. I sat down with serial entrepreneur Daniel Priestley to unpack nine key lessons that can help anyone build a business from scratch. These are the insights that I’ve also learned from being an entrepreneur, and hopefully you’ll find them useful. Enjoy xx"
How I ranked 1st at Cambridge University - The Essay Memorisation Framework (-46Vyiwat_Y).md,-46Vyiwat_Y,How I ranked 1st at Cambridge University - The Essay Memorisation Framework,2019-04-09,2019,1072,17:52,9032405,307725,Education,tutorial,study-learning,"essay, cambridge, university, exam, stage, framework, ranked, study, memorization, memorisation, plans, really","该视频属于tutorial内容。In this video, I talk through the Essay Memorisation Framework that I used to win the top exam results prize in my 3rd year of Medical School at Cambridge University. I was studying Psychology as my intercalated BA, and using this method I created around 50 essay plans and committed them to memory. This video explains how. Enjoy xx"
How I take notes on my iPad Pro in medical school - Cambridge University medical student (waR3xBDHMqw).md,waR3xBDHMqw,How I take notes on my iPad Pro in medical school - Cambridge University medical student,2018-06-02,2018,835,13:55,6178697,115787,People & Blogs,review,"medicine, study-learning","ipad, notes, pro, take, medical, apple, pencil, about, can, talk, college, cambridge","该视频属于review内容。In this video, we talk about my strategy for taking notes with the iPad and Apple Pencil. I use an iPad Pro but would probably recommend the new 2018 iPad with Apple Pencil if you're buying a new one. We talk about the benefits of taking notes with an iPad vs traditional methods, we talk about Notability vs OneNote (I prefer Notability), and I share various techniques of note-taking that I use in lectures, seminars and hospital placements. Enjoy xx"
How I use AI as an Entrepreneur (My complete workflow) (FDEVzFsPrkU).md,FDEVzFsPrkU,How I use AI as an Entrepreneur (My complete workflow),2025-10-16,2025,2358,39:18,157483,3894,Education,talk,"business, ai","work, output, input, like, stuff, then, workflow, entrepreneur, all, processing, complete, kind","该视频属于talk内容。00:16 Work framework (Input, Process & Output)"
How I use AI to save 10+ hours per week (Qc6pdR8BhFA).md,Qc6pdR8BhFA,How I use AI to save 10+ hours per week,2025-02-14,2025,1106,18:26,284085,8494,Education,talk,"career-life, ai","i'm, save, week, per, going, very, need, tools, stuff, own, writing, write","该视频属于talk内容。Hey friends, welcome to a new series called ‘Everyday AI’ where I document how I’m using AI to boost my productivity, achieve my goals, and make a little easier. I’m going to share how I use AI everyday to save 10+ hours per week."
How I use Notion as a Resonance Calendar (lKYBB-Uw1IM).md,lKYBB-Uw1IM,How I use Notion as a Resonance Calendar,2019-10-19,2019,809,13:29,646590,16634,Science & Technology,talk,"tools-tech, productivity","notion, calendar, resonance, app, about, stuff, keep, read, like, article, productive, tutorial","该视频属于talk内容。In this video, we go through how I use Notion as a resonance calendar to keep track of and reflect on the various things that I read, watch and listen to. Enjoy xx"
How I use my iPad Pro as a Doctor (jFACcujmdE4).md,jFACcujmdE4,How I use my iPad Pro as a Doctor,2019-06-26,2019,545,9:05,285579,6495,Education,review,medicine,"ipad, pro, doctor, let's, say, i'm, patient, plus, turn, needs, junior, dash","该视频属于review内容。In this video, I discuss the 4 main ways in which I use my iPad Pro in my daily work as a junior doctor. I talk about (1) how I use Goodnotes and the Dash Plus Productivity System to manage my to-do lists, (2) the magic of electronic medical records, (3) the power of being able to look stuff up on the fly, and (4) the beauty of productive downtime. Enjoy xx"
How I'd Create Content in 2026 (If I Had To Start Over) (A8PxRHQrLJ8).md,A8PxRHQrLJ8,How I'd Create Content in 2026 (If I Had To Start Over),2026-03-26,2026,955,15:55,125389,4901,Education,talk,general,"content, doing, over, then, i'd, start, create, competitor, analysis, i've, you're, other","该视频属于talk内容。Hey friends, if you've been thinking about creating content but feel overwhelmed by all the conflicting advice out there, this video is for you. I'm breaking down exactly what I'd do if I had to start from scratch in 2026: from competitor analysis and finding your format, to managing the cringe and leaning into what makes you unique. These are the principles I've learned over 9 years of making content, distilled into the essentials that actually matter. Hope you enjoy xx"
How Much Money I Earn as a Doctor + YouTuber (VTTp5A-rSdc).md,VTTp5A-rSdc,How Much Money I Earn as a Doctor + YouTuber,2020-12-28,2020,2972,49:32,1691030,63974,Education,talk,"money-finance, youtube-creator","money, much, make, youtube, about, doctor, youtuber, people, like, earn, made, youtubers","该视频属于talk内容。In this ridiculously long and detailed video, I'll take you behind-the-scenes of my Youtube channel and various businesses to show how much money we've made in 2020. Please do take the trigger warning at the start into account. And please also understand that this is not an overnight success story, and there's no (legit) way to make money online without large amounts of work, luck and unfair advantages, of which I've had plenty."
How Much Money I Earn in a Week as a Doctor & YouTuber (ZijqVV1NqYQ).md,ZijqVV1NqYQ,How Much Money I Earn in a Week as a Doctor & YouTuber,2020-05-01,2020,1867,31:07,2111602,83787,Education,talk,money-finance,"money, make, much, income, week, doctor, passive, youtube, sources, over, about, get","该视频属于talk内容。In this video I'll be showing you, in detail, the breakdown of my income over the course of a week."
How Much Money I Made as a YouTuber & Entrepreneur (2022) (KvDHMeJJ_cY).md,KvDHMeJJ_cY,How Much Money I Made as a YouTuber & Entrepreneur (2022),2023-01-05,2023,2775,46:15,1209877,43072,Education,talk,"business, youtube-creator","money, much, make, youtubers, youtube, youtuber, made, pay, years, entrepreneur, work, does","该视频属于talk内容。In this ridiculously long and detailed video, I'll take you behind-the-scenes of my YouTube channel and various businesses to show how much money we've made in 2022. Please do take the trigger warning at the start into account and please also understand that this is not an overnight success story, and there's no (legit) way to make money online without large amounts of work, luck and unfair advantages, of which I've had plenty. Enjoy x"
How Much Money I Make as a YouTuber (2021)💰 (Toz7XEsSH_o).md,Toz7XEsSH_o,How Much Money I Make as a YouTuber (2021)💰,2021-12-16,2021,2239,37:19,1601094,58376,Education,talk,"money-finance, youtube-creator","money, much, make, youtube, not, youtuber, business, start, made, i've, youtubers, online","该视频属于talk内容。In this ridiculously long and detailed video, I'll take you behind-the-scenes of my YouTube channel and various businesses to show how much money we've made in 2021. Please do take the trigger warning at the start into account and please also understand that this is not an overnight success story, and there's no (legit) way to make money online without large amounts of work, luck and unfair advantages, of which I've had plenty."
How Much Money I Spend as a YouTuber (2021) (7hVqxhZaxtk).md,7hVqxhZaxtk,How Much Money I Spend as a YouTuber (2021),2021-12-24,2021,1287,21:27,310344,11175,Education,talk,tools-tech,"money, spend, much, about, week, spent, i'm, dollars, month, not, people, all","该视频属于talk内容。In this video, I go over my annual expenses for 2021 in-depth across both personal and business. This is probably not that interesting for you honestly, but I always get comments from people asking how much I spend annually as I make videos about how I make money online, so I thought why not show you the other side of the coin. Enjoy xx"
How Much Money I Spend in a Week as a 25 Year Old Doctor (wfbEoq634ZY).md,wfbEoq634ZY,How Much Money I Spend in a Week as a 25 Year Old Doctor,2020-02-05,2020,1102,18:22,686528,18211,Education,talk,tools-tech,"week, much, money, spend, eat, all, got, year, old, doctor, work, cost","该视频属于talk内容。In this video, I go over my weekly expenses in-depth as a 25 year old doctor, including life maintenance and digital purchases. Enjoy xx"
